UNUSED	UNUSED	cox analysis|cox multiple regression|cox multivariate analysis|cox multivariate regression|cox proportional hazard|cox proportional hazard model|cox proportional hazards|cox proportional hazards analysis|cox proportional hazards model|cox regression|cox regression model|cox regression test|cox's analysis|cox's multiple regression|cox's multivariate analysis|cox's multivariate regression|cox's proportional hazard|cox's proportional hazard model|cox's proportional hazards|cox's proportional hazards analysis|cox's proportional hazards model|cox's regression|cox's regression model|cox's regression test|multivariate cox analysis|multivariate cox's analysis
UNUSED2	UNUSED2	immunoglobulin heavy chain variable region|igv(h)|igvh|ighv
UNUSED3	UNUSED3	rate of mutation|bcr-free|(epi)genetic|weight loss|mastr™
