DOID:10534	stomach cancer	ca body - stomach|ca greater curvature of stomach|ca lesser curvature - stomach|gastric cancer|gastric cancers|gastric neoplasm|gastric neoplasms|malignant neoplasm of body of stomach|malignant neoplasm of lesser curve of stomach|malignant tumor of body of stomach|malignant tumor of greater curve of stomach|malignant tumor of lesser curve of stomach|malignant tumour of body of stomach|malignant tumour of greater curve of stomach|malignant tumour of lesser curve of stomach|stomach cancer
DOID:1612	breast cancer	breast cancer|breast tumor|breast tumors|breast tumour|malignant neoplasm of breast|malignant tumor of the breast|malignant tumour of the breast|mammary cancer|mammary cancers|mammary tumor|mammary tumors|mammary tumour|primary breast cancer|primary breast cancers
DOID:2394	ovarian cancer	malignant ovarian tumor|malignant ovarian tumors|malignant ovarian tumour|malignant tumour of ovary|ovarian cancer|ovarian neoplasm|ovarian neoplasms|ovary neoplasm|ovary neoplasms|primary ovarian cancer|primary ovarian cancers|tumor of the ovary|tumour of the ovary
DOID:3908	non-small cell lung carcinoma	non-small cell lung cancer|non-small cell lung cancers|non-small cell lung carcinoma|nsclc
DOID:684	hepatocellular carcinoma	adult hepatoma|adult hepatomas|adult primary hepatocellular carcinoma|adult primary hepatocellular carcinomas|hcc|hepatocellular carcinoma|hepatoma|hepatomas
