HGNC:1100	BRCA1	brca1|brcai|brcc1|brovca1|fancs|iris|pnca4|ppp1r53|pscp|rnf53	672
HGNC:1101	BRCA2	brca2|brcc2|brovca2|facd|fad|fad1|fancd|fancd1|glm3|pnca2|xrcc11	675
HGNC:3236	EGFR	egf receptor|egf-r|egf-receptor|egfr|epidermal growth factor (egf) receptor|epidermal growth factor receptor|erbb|erbb1|her1|mena|nisbd2|pig61|receptor for epidermal growth factor|receptor for the epidermal growth factor	1956
HGNC:3430	ERBB2	cd340|epidermal growth factor receptor 2|epidermal growth factor receptor-2|erb-b2 receptor tyrosine kinase 2|erbb2|her-2|her-2/neu|her2|human epidermal growth factor receptor-2|mln 19|neu|ngl|tkr1	2064
HGNC:11998	TP53	bcc7|lfs1|p53|tp53|trp53|tumor protein p53	7157
