Oncogene	596	BCL2	DOID:1040
Oncogene	83596	BCL2L12	DOID:1909
Oncogene	83596	BCL2L12	DOID:1749
Oncogene	602	BCL3	DOID:1040
Oncogene	604	BCL6	DOID:0060060
Oncogene	604	BCL6	DOID:1040
Oncogene	607	BCL9	DOID:8584
Oncogene	283149	BCL9L	DOID:9256
Tumor_Suppressor	283149	BCL9L	DOID:9256
Oncogene	283149	BCL9L	DOID:2871
Tumor_Suppressor	283149	BCL9L	DOID:2871
Oncogene	283149	BCL9L	DOID:10534
Tumor_Suppressor	283149	BCL9L	DOID:10534
Tumor_Suppressor	54880	BCOR	DOID:768
Tumor_Suppressor	54880	BCOR	DOID:9119
Tumor_Suppressor	54880	BCOR	DOID:0060318
Oncogene	63035	BCORL1	DOID:9119
Tumor_Suppressor	63035	BCORL1	DOID:9119
Oncogene	63035	BCORL1	DOID:5520
Tumor_Suppressor	63035	BCORL1	DOID:5520
Oncogene	330	BIRC3	DOID:1040
Tumor_Suppressor	330	BIRC3	DOID:1040
Oncogene	330	BIRC3	DOID:0050909
Tumor_Suppressor	330	BIRC3	DOID:0050909
Oncogene	330	BIRC3	DOID:0050746
Tumor_Suppressor	330	BIRC3	DOID:0050746
Oncogene	330	BIRC3	DOID:9538
Tumor_Suppressor	330	BIRC3	DOID:9538
Oncogene	57448	BIRC6	DOID:1909
Oncogene	57448	BIRC6	DOID:3717
Oncogene	57448	BIRC6	DOID:3910
Tumor_Suppressor	641	BLM	DOID:1240
Tumor_Suppressor	641	BLM	DOID:0060058
Tumor_Suppressor	641	BLM	DOID:3151
Tumor_Suppressor	641	BLM	NO_MATCH
Oncogene	657	BMPR1A	NO_MATCH
Tumor_Suppressor	657	BMPR1A	NO_MATCH
Oncogene	673	BRAF	DOID:1909
Oncogene	673	BRAF	DOID:9256
Oncogene	673	BRAF	DOID:3969
Oncogene	673	BRAF	DOID:2394
Oncogene	673	BRAF	DOID:3908
Oncogene	673	BRAF	DOID:4947
Oncogene	673	BRAF	DOID:4851
Oncogene	673	BRAF	DOID:3162
Oncogene	673	BRAF	DOID:5742
Oncogene	673	BRAF	DOID:0111162
Oncogene	673	BRAF	DOID:10283
Oncogene	673	BRAF	DOID:10534
Tumor_Suppressor	672	BRCA1	DOID:2394
Tumor_Suppressor	672	BRCA1	DOID:1612
Tumor_Suppressor	672	BRCA1	DOID:2394
Tumor_Suppressor	675	BRCA2	DOID:1612
